,Date.Sampled,Address,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,PIN,Township Code,Neighborhood Code,Sale Price,ZIP,Municipality FIPS Code,Longitude,Latitude,Tract Median Income
25,7/25/2016,103XX S VERNON AVE,3.49,3.3,3.32,5.7,3.9,4.56,5.3,5.5,7.27,7.67,9.34,25-15-200-033-0000,70.0,70220.0,,60628-2948,14000.0,-87.6128575752043,41.7059870162991,45273.0
26,10/29/2019,104XX S ALBANY ,5.08,5.69,5.12,6.48,6.87,16.3,17.6,16.3,17.5,13.4,9.86,,,,,,,,,
27,6/18/2019,104XX S ALBANY ,1.01,1.67,2.46,3.39,5.08,4.63,4.61,4.79,4.63,3.52,1.09,,,,,,,,,
28,3/10/2022,104XX S AVENUE F ,8.3,10.0,13.0,9.1,7.7,6.6,9.0,12.0,14.0,17.0,16.0,,,,,,,,,
29,3/2/2019,104XX S AVENUE J ,4.58,13.0,16.9,17.0,17.2,17.8,12.9,26.8,22.6,17.7,12.7,,,,,,,,,
30,6/8/2021,104XX S CALUMET AVE,11.0,13.0,16.0,16.0,16.0,19.0,18.0,18.0,17.0,15.0,,25-15-116-039-0000,70.0,70220.0,,60628-2835,14000.0,-87.6152443450075,41.7038523680031,45273.0
31,11/30/2021,104XX S CORLISS AVE,26.7,62.5,26.3,12.7,11.2,9.9,10.9,10.9,10.2,10.0,,25-14-101-019-0000,70.0,70230.0,,60628-3040,14000.0,-87.6035577785941,41.7045895989538,27247.0
32,6/17/2021,104XX S EGGLESTON AVE,10.5,12.8,9.11,11.1,12.8,14.4,25.6,26.1,20.3,20.6,,25-16-113-010-0000,72.0,72321.0,,60628-2423,14000.0,-87.6339867118948,41.7042917465473,41167.0
33,9/14/2021,104XX S RHODES AVE,4.5,6.6,7.5,7.8,7.6,9.4,13.0,13.0,11.0,11.0,12.0,25-15-211-008-0000,70.0,70220.0,,60628-2960,14000.0,-87.6096611926877,41.703854077625,45273.0
34,11/1/2021,104XX S SPRINGFIELD AVE,3.23,3.55,5.96,7.79,8.29,10.7,19.3,19.7,17.8,17.0,14.5,24-14-105-057-0000,72.0,72422.0,,60655-3713,14000.0,-87.7179799656784,41.7027925517499,100361.0
35,1/13/2017,104XX S TRUMBULL AVE,7.16,13.3,12.0,10.4,10.3,10.4,9.3,8.34,8.63,8.2,0.5,24-14-208-016-0000,72.0,72422.0,,60655-2430,14000.0,-87.7069760989051,41.7027018210316,100361.0
36,10/10/2019,105XX S CENTRAL PARK AVE,4.35,3.59,3.55,3.6,8.56,15.5,18.7,18.0,15.0,14.2,1.7,24-14-213-002-0000,72.0,72422.0,,60655-3201,14000.0,-87.7106300035064,41.702208706087,100361.0
37,4/25/2018,105XX S CHRISTIANA AVE**,2.16,6.16,6.46,7.69,8.33,8.71,8.88,10.1,10.1,9.85,7.9,,,,,,,,,
38,12/13/2017,105XX S CHRISTIANA AVE**,3.06,5.82,7.08,7.13,7.28,6.7,8.22,10.6,15.0,17.2,15.8,,,,,,,,,
39,10/24/2019,105XX S EMERALD ,3.67,6.74,11.5,6.66,9.31,10.8,7.57,7.22,8.93,8.87,3.33,,,,,,,,,
40,10/29/2019,105XX S HOMAN AVE,5.43,5.43,5.61,5.82,5.25,9.74,11.4,12.2,12.6,12.7,13.7,24-14-215-113-0000,72.0,72423.0,,60655-2542,14000.0,-87.7057272327265,41.7012390295829,100361.0
41,11/4/2021,105XX S KEDZIE AVE,9.65,14.2,12.1,13.5,17.0,17.4,16.6,15.9,15.9,15.5,12.3,24-14-217-034-0000,72.0,72423.0,,60655-2020,14000.0,-87.7015795057806,41.7023895659083,100361.0
42,3/13/2020,105XX S KEDZIE AVE,5.35,6.02,6.93,14.5,20.2,21.9,20.1,18.4,16.9,15.0,12.8,24-13-108-014-0000,72.0,72423.0,,60655-2019,14000.0,-87.7008184115051,41.7015108627766,91924.0
43,10/8/2019,105XX S OAKLEY AVE,10.6,15.6,15.8,20.4,22.2,21.4,21.9,21.9,19.6,21.6,20.7,25-18-116-017-0000,72.0,72271.0,,60643-2526,14000.0,-87.6793919407765,41.7020454873391,110344.0
44,8/30/2021,105XX S SEELEY AVE,4.41,4.53,4.89,4.21,4.68,5.29,6.13,7.05,8.52,9.3,8.52,25-18-121-014-0000,72.0,72271.0,,60643-2633,14000.0,-87.6732900378559,41.7020958191861,110344.0
45,6/15/2021,106XX S ABERDEEN ST,8.6,10.0,6.3,4.7,5.4,7.6,4.6,5.5,6.2,4.5,,25-17-224-051-0000,72.0,72321.0,,60643-3065,14000.0,-87.6496817121004,41.699878054292,39893.0
46,10/19/2021,106XX S CHURCH ST,2.71,5.26,10.1,11.4,12.7,12.5,12.3,11.2,10.7,9.07,6.32,25-17-111-054-0000,72.0,72274.0,,60643-2910,14000.0,-87.6608208319446,41.6999565328447,64656.0
47,9/10/2019,106XX S DRAKE AVE,4.17,3.63,4.17,5.19,13.7,18.7,17.1,15.2,16.4,16.9,15.3,24-14-213-138-0000,72.0,72422.0,,60655-2506,14000.0,-87.7100750420551,41.7004548177745,100361.0
48,1/25/2022,106XX S EBERHART AVE,5.7,6.2,9.9,9.5,10.0,12.0,11.0,11.0,9.6,8.3,,25-15-224-020-0000,70.0,70220.0,110000.0,60628-2954,14000.0,-87.6115157563895,41.7013821815712,45273.0
49,11/30/2021,106XX S EBERHART AVE,14.0,14.1,14.3,14.1,14.1,14.1,13.1,11.4,14.7,26.2,26.6,25-15-224-019-0000,70.0,70220.0,,60628-2954,14000.0,-87.6115180589819,41.7014644985089,45273.0
50,7/22/2016,106XX S LEAVEITT ST**,24.8,20.4,32.5,33.8,37.2,50.8,59.5,57.1,48.7,39.6,28.6,,,,,,,,,
51,12/23/2016,106XX S LEAVEITT ST**,2.71,3.91,3.9,4.3,4.85,5.0,5.51,6.88,7.74,7.5,0.5,,,,,,,,,
52,12/3/2019,106XX S NORMAL AVE ,7.05,8.7,8.74,9.0,9.32,10.5,10.7,10.5,10.7,10.8,7.42,,,,,,,,,
53,3/6/2019,106XX S TALMAN ,5.7,5.62,6.34,7.33,12.9,25.3,,15.9,14.9,14.5,,,,,,,,,,
54,2/25/2017,107XX S AVENUE O ,10.7,8.75,7.21,10.3,15.0,19.7,16.6,15.0,14.9,16.0,3.6,,,,,,,,,
55,6/15/2021,107XX S BUFFALO AVE,6.8,30.0,23.0,21.0,13.0,8.3,13.0,13.0,7.9,6.6,,26-18-206-016-0000,70.0,70240.0,34982.0,60617-6515,14000.0,-87.5434275428317,41.6997930811334,41860.0
56,9/12/2017,107XX S CHAMPLAIN AVE,6.46,7.3,8.9,9.57,12.7,21.0,18.9,27.1,19.7,11.9,9.87,25-15-404-036-0000,70.0,70230.0,,60628-3808,14000.0,-87.6076209199799,41.6994478448634,27247.0
57,10/21/2019,107XX S DR MARTIN LUTHER KING JR DR,2.67,2.53,3.76,7.81,9.67,13.2,17.1,18.6,19.5,15.7,8.67,,,,,,,,,
58,10/5/2016,107XX S SPAULDING AVE,7.91,7.79,7.05,9.33,9.54,12.1,12.4,12.3,10.8,9.95,8.88,24-14-404-031-0000,72.0,72423.0,342000.0,60655-2604,14000.0,-87.7038674579492,41.6979839944454,118640.0
59,5/20/2019,107XX S TALMAN ,2.79,5.03,5.34,3.99,4.03,4.09,4.38,8.2,10.9,11.0,1.44,,,,,,,,,
60,6/21/2021,107XX S WALLACE ST,5.2,8.6,9.0,9.0,9.4,11.0,10.0,9.7,8.8,9.0,,25-16-303-024-0000,72.0,72321.0,,60628-3208,14000.0,-87.6380824522079,41.6988310442372,41167.0
61,5/15/2019,107XX S WASHTENAW ,2.03,2.19,3.48,3.6,3.29,3.28,4.44,6.96,8.1,6.9,6.38,,,,,,,,,
62,12/19/2019,108XX S AVENUE F,6.56,6.92,7.91,17.5,17.8,12.7,11.0,11.4,11.9,11.3,7.73,26-17-123-071-0000,70.0,70240.0,,60617-6738,14000.0,-87.5308038830487,41.6974056820738,62311.0
63,9/4/2019,108XX S CENTRAL PARK AVE,10.8,6.76,5.44,5.52,9.67,15.6,20.7,23.4,23.1,21.6,8.47,24-14-407-002-0000,72.0,72422.0,292000.0,60655-3216,14000.0,-87.710426890334,41.6966879265308,118640.0
64,2/22/2020,108XX S DRAKE AVE,2.88,3.62,3.17,3.17,2.74,3.42,4.1,5.05,8.34,7.76,6.32,24-14-407-037-0000,72.0,72422.0,,60655-2608,14000.0,-87.7098747168854,41.695461384045,118640.0
65,12/6/2021,108XX S EGGLESTON AVE,0.5,0.5,1.05,0.5,1.85,2.44,1.75,3.6,5.13,2.86,0.5,25-16-314-019-0000,72.0,72321.0,136000.0,60628-3222,14000.0,-87.6344482244435,41.6976226529002,41167.0
66,1/28/2020,108XX S GREEN ST,2.47,3.57,3.91,3.92,3.83,3.87,3.91,3.82,3.65,3.47,3.0,25-17-418-030-0000,72.0,72323.0,,60643-3805,14000.0,-87.6433685706804,41.6962371282252,40692.0
67,3/2/2022,108XX S HAMLIN AVE,3.42,3.98,7.03,6.6,6.12,5.22,4.56,4.37,4.42,4.26,3.45,24-14-320-015-0000,72.0,72422.0,,60655-3916,14000.0,-87.7152505707729,41.6951449939395,118640.0
68,9/3/2019,108XX S PROSPECT AVE,2.76,3.46,4.1,4.22,4.26,4.61,4.85,4.78,4.89,4.72,6.47,25-18-405-038-0000,72.0,72274.0,,60643-3414,14000.0,-87.6632116463129,41.6975690767273,78594.0
69,5/28/2021,108XX S VERNON AVE,8.94,7.45,6.18,6.24,6.29,6.36,7.64,11.4,14.8,16.8,,25-15-408-008-0000,70.0,70220.0,,60628-3721,14000.0,-87.6119289671332,41.6974863209056,38693.0
70,3/10/2020,109XX S EWING AVE,3.77,3.18,3.43,3.33,3.16,3.12,3.05,3.04,2.85,3.13,3.01,26-17-128-054-0000,70.0,70240.0,,60617-6918,14000.0,-87.5349174099815,41.696568804413,62311.0
71,1/24/2020,109XX S LAWNDALE AVE,2.36,3.32,6.14,6.93,15.0,11.1,9.82,12.5,11.6,13.3,11.0,24-14-311-013-0000,72.0,72422.0,,60655-3312,14000.0,-87.7128232455784,41.6945688301935,118640.0
72,6/24/2021,109XX S MORGAN ST,8.12,9.84,10.0,9.57,6.46,6.97,6.92,5.5,6.02,7.2,,25-17-427-020-0000,72.0,72323.0,,60643-3827,14000.0,-87.646979617843,41.6955187167244,40692.0
73,9/18/2019,109XX S PEORIA ST,5.63,6.92,7.66,9.01,9.9,11.1,13.2,13.3,13.1,12.8,13.3,25-17-426-017-0000,72.0,72323.0,,60643-3811,14000.0,-87.6445685035286,41.6957201590177,40692.0
74,11/5/2019,10XX N CENTRAL PARK AVE,3.22,1.54,1.44,1.55,1.59,1.55,1.37,1.32,1.19,1.08,0.822,16-02-404-005-0000,77.0,77040.0,134000.0,60651-3908,14000.0,-87.7161309099428,41.9004856216432,32895.0
75,2/7/2020,10XX N DAMEN AVE,5.45,11.1,15.5,15.5,14.5,13.6,12.0,11.1,9.09,7.01,2.2,17-06-315-034-0000,77.0,77052.0,,60622-4378,14000.0,-87.6774796631522,41.8999349299262,93980.0
76,4/19/2019,10XX N MARSHFIELD ,18.9,60.8,6.63,4.86,4.47,4.44,3.91,4.04,3.74,3.56,3.75,,,,,,,,,
77,10/9/2019,10XX N MASSASOIT AVE,10.2,5.95,9.2,9.83,6.63,6.3,5.5,5.03,4.69,4.92,4.41,16-05-412-026-0000,77.0,77013.0,,60651-2656,14000.0,-87.7695603300977,41.899607703813,29917.0
78,11/14/2019,10XX N SPAULDING ,8.39,6.07,6.79,6.97,7.32,9.59,9.29,9.7,13.1,12.3,4.42,,,,,,,,,
79,9/1/2017,10XX W 18TH ST,0.5,0.5,1.11,1.22,0.5,0.5,1.06,1.04,1.05,1.09,1.79,17-20-410-012-0000,77.0,77141.0,350000.0,60608-2306,14000.0,-87.6523401799449,41.8577870619677,62614.0
80,7/28/2017,10XX W DICKENS AVE,11.8,12.1,10.4,14.2,17.4,14.6,10.7,16.5,21.3,16.0,11.7,14-32-223-032-0000,74.0,74012.0,,60614-4137,14000.0,-87.6553863838413,41.919734518314,138934.0
81,10/5/2016,110XX S CENTRAL PARK AVE,4.45,2.79,2.99,3.31,6.38,7.29,8.03,8.08,5.82,4.4,11.2,24-14-416-082-0000,72.0,72422.0,,60655-3306,14000.0,-87.7102625820416,41.6921823956744,118640.0
82,1/21/2020,110XX S EBERHART AVE,5.24,5.64,5.85,5.82,5.71,5.88,6.04,6.58,6.32,5.57,1.15,25-15-413-065-0000,70.0,70220.0,,60628-4454,14000.0,-87.6108002519389,41.6938662007585,38693.0
83,11/1/2021,110XX S HOMEWOOD AVE,5.82,4.42,4.33,4.41,5.69,6.97,12.7,15.9,11.0,9.76,10.9,25-18-419-006-0000,72.0,72274.0,,60643-3421,14000.0,-87.6688560307606,41.6925787336071,54896.0
84,11/12/2019,110XX S MILLARD ,4.85,9.89,9.99,9.2,8.04,5.96,4.7,4.45,4.24,3.54,1.79,,,,,,,,,
85,2/2/2022,110XX S SANGAMON ST,1.2,3.1,7.9,12.0,16.0,28.0,41.0,44.0,53.0,44.0,35.0,25-17-429-023-0000,72.0,72323.0,,60643-3837,14000.0,-87.6452424397663,41.6934709366339,40692.0
86,9/3/2021,111XX S AVENUE B ,22.0,21.0,23.0,21.0,29.0,33.0,35.0,37.0,36.0,37.0,,,,,,,,,,
87,8/24/2021,111XX S AVENUE E ,1.85,1.15,0.5,1.34,2.8,5.4,4.62,4.69,4.78,4.77,0.5,,,,,,,,,
88,4/13/2019,111XX S AVENUE H ,3.61,4.35,3.79,3.24,4.64,4.16,3.57,3.83,5.73,7.61,10.2,,,,,,,,,
89,11/5/2016,111XX S DRAKE AVE,2.84,4.12,6.4,8.39,12.5,12.8,13.6,15.0,13.2,8.15,1.68,24-23-200-046-0000,72.0,72423.0,,60655-3513,14000.0,-87.7096689250094,41.6902798136261,85798.0
90,12/2/2016,111XX S HOYNE AVE,6.08,6.18,6.28,11.0,6.9,6.36,8.04,7.44,7.68,12.4,6.44,25-19-102-018-0000,72.0,72300.0,,60643-4004,14000.0,-87.6743876354219,41.6916334650089,54896.0
91,3/4/2022,111XX S LOOMIS ST,2.9,4.9,4.9,7.4,7.1,4.2,3.2,2.7,3.1,4.6,5.5,25-20-102-028-0000,72.0,72312.0,,60643-3636,14000.0,-87.6574091167291,41.6916324092715,37159.0
92,7/15/2019,111XX S MAPLEWOOD ,4.86,4.02,5.9,4.49,4.88,4.78,8.68,19.3,19.9,19.0,18.9,,,,,,,,,
93,7/17/2019,111XX S WASHTENAW ,16.7,28.8,34.1,36.3,35.6,30.9,30.2,31.1,31.2,32.4,34.3,,,,,,,,,
94,12/5/2019,112XX S AVENUE H,7.04,5.26,4.81,7.11,13.0,19.3,18.9,17.3,15.3,12.9,5.33,26-17-320-063-0000,70.0,70240.0,,60617-7029,14000.0,-87.5332184643018,41.6907221425213,62311.0
95,6/29/2021,112XX S EMERALD AVE,7.4,5.7,5.2,6.0,6.2,7.6,15.0,17.0,15.0,14.0,,25-21-109-037-0000,72.0,72321.0,,60628-4706,14000.0,-87.6407273482326,41.6894349460883,40167.0
96,7/15/2019,112XX S FAIRFIELD ,6.59,6.65,6.34,7.47,12.0,15.3,13.9,14.5,15.9,14.0,3.48,,,,,,,,,
97,6/21/2021,112XX S FORRESTVILLE AVE,14.6,25.7,21.1,16.1,16.8,12.6,15.0,14.2,13.5,10.8,,25-22-212-038-0000,70.0,70230.0,165000.0,60628-4605,14000.0,-87.6092017734567,41.6892873445383,42263.0
98,6/4/2021,112XX S NORMAL AVE,6.5,8.9,9.8,6.8,8.5,6.3,7.9,9.1,13.0,19.0,,25-21-114-030-0000,72.0,72321.0,32000.0,60628-4739,14000.0,-87.634715378195,41.6900235484876,40167.0
99,6/4/2021,112XX S PARNELL AVE,8.1,6.7,6.4,7.2,6.2,11.0,8.6,6.2,6.0,5.6,,25-21-112-023-0000,72.0,72321.0,,60628-4719,14000.0,-87.636600991312,41.6897229819429,40167.0
100,10/29/2019,112XX S PEORIA ,4.4,4.9,7.45,7.5,4.93,3.95,5.19,7.32,7.46,7.31,7.24,,,,,,,,,
101,7/20/2018,112XX S SPAULDING AVE,4.61,5.13,5.65,6.89,8.71,8.53,7.37,7.24,15.4,21.7,23.9,24-23-205-056-0000,72.0,72423.0,,60655-2710,14000.0,-87.7035185557851,41.688966406841,85798.0
102,6/17/2021,112XX S ST LAWRENCE AVE,15.7,17.6,15.9,14.6,13.5,12.3,11.7,11.8,11.6,10.8,,,,,,,,,,
103,10/23/2019,113XX S ABERDEEN ,8.37,10.3,13.5,15.4,11.1,10.9,10.1,8.47,6.89,5.37,5.51,,,,,,,,,
104,7/18/2019,113XX S AVENUE L ,11.0,12.7,11.7,17.5,21.9,27.0,25.5,25.3,26.6,25.6,18.4,,,,,,,,,
105,1/11/2020,113XX S COTTAGE GROVE AVE,10.8,13.0,11.7,10.2,8.72,8.24,7.46,6.41,4.97,5.38,3.7,25-22-218-009-0000,70.0,70230.0,,60628-5105,14000.0,-87.610399441581,41.6885960468218,42263.0
106,8/9/2021,113XX S HALE AVE,4.59,7.25,5.2,4.21,3.55,2.7,12.8,26.7,17.4,12.1,,25-19-114-061-0000,72.0,72300.0,,60643-4272,14000.0,-87.6719077021947,41.6865528410546,54896.0
107,7/27/2021,113XX S HOMEWOOD AVE,21.9,35.5,40.8,42.1,41.3,37.7,33.6,32.1,27.4,22.6,14.4,25-19-222-014-0000,72.0,72312.0,,60643-4287,14000.0,-87.6707401368426,41.6868503331667,54896.0
108,6/10/2021,113XX S LOOMIS ST,14.0,21.0,30.0,20.0,25.0,24.0,21.0,21.0,18.0,15.0,,25-20-122-074-0000,72.0,72312.0,,60643-4458,14000.0,-87.6564563576485,41.6868476670617,37159.0
109,9/1/2021,113XX S LOTHAIR AVE,10.0,10.0,12.0,17.0,22.0,25.0,24.0,24.0,23.0,22.0,23.0,25-19-112-107-0000,72.0,72300.0,,60643-4133,14000.0,-87.674187069622,41.687401318431,54896.0
110,3/18/2020,113XX S ST LAWRENCE AVE,69.3,24.3,10.5,6.8,6.26,8.94,8.97,8.43,7.74,7.26,5.34,,,,,,,,,
111,6/25/2021,113XX S ST LAWRENCE AVE,10.3,20.8,25.2,21.6,13.3,12.2,11.0,11.1,10.3,9.51,,,,,,,,,,
112,6/23/2021,113XX S ST LAWRENCE AVE,31.7,12.9,49.4,27.0,21.4,16.9,18.7,13.1,17.0,22.7,,,,,,,,,,
113,8/6/2019,113XX S TALMAN ,6.37,6.17,6.43,6.24,6.36,8.88,24.2,33.7,36.1,37.1,17.0,,,,,,,,,
114,10/30/2019,113XX S TALMAN ,8.81,7.0,7.36,7.25,6.87,6.76,7.54,12.7,20.1,19.0,18.0,,,,,,,,,
115,2/18/2020,113XX S TRUMBULL AVE,5.19,5.74,5.47,5.62,5.96,6.0,6.77,6.91,6.74,5.98,2.11,24-23-210-116-0000,72.0,72423.0,,60655-3533,14000.0,-87.7071287249189,41.6874196701859,85798.0
116,6/7/2021,114XX S ADA ST,22.1,23.4,23.0,22.6,24.9,26.1,28.8,27.6,25.7,21.7,,25-20-122-037-0000,72.0,72312.0,,60643-4428,14000.0,-87.6559249068622,41.6864348621647,37159.0
117,2/10/2020,114XX S CALUMET AVE,19.5,2.23,1.98,1.9,1.75,1.55,1.52,1.36,1.33,1.33,0.91,25-22-116-062-0000,70.0,70210.0,,60628-5021,14000.0,-87.6147448599585,41.6861017919283,29737.0
118,1/27/2020,114XX S FORRESTVILLE AVE,23.5,50.9,70.3,24.6,22.2,22.0,17.5,14.6,12.3,14.2,11.0,25-22-226-011-0000,70.0,70230.0,,60628-5109,14000.0,-87.6091506904202,41.6866560013751,42263.0
119,6/8/2021,114XX S INDIANA AVE,9.0,11.0,15.0,21.0,20.0,21.0,18.0,19.0,16.0,16.0,,25-22-119-031-0000,70.0,70210.0,460000.0,60628-4938,14000.0,-87.6184801767586,41.6861196258892,29737.0
120,11/8/2019,114XX S MAY,1.91,4.17,8.25,3.95,3.36,3.33,3.48,3.13,2.89,2.74,3.32,,,,,,,,,
121,6/29/2019,114XX S ST LAWRENCE ,57.2,17.7,29.9,34.2,22.1,18.0,16.2,8.86,7.25,6.39,6.24,,,,,,,,,
122,11/14/2019,114XX S WALLACE ,7.06,2.76,4.68,4.74,6.89,20.0,21.0,20.8,19.2,19.3,3.11,,,,,,,,,
123,9/28/2020,11544 S SANGAMON ST,7.83,4.22,4.23,4.01,4.04,4.02,3.72,3.66,3.84,3.54,2.89,,,,,,,,,
124,9/19/2019,115XX S ARTESIAN AVE,4.23,2.72,2.42,2.44,2.48,2.62,2.51,2.45,2.56,2.63,2.38,24-24-404-025-0000,72.0,72423.0,,60655-1415,14000.0,-87.6824843993865,41.6837724609418,88224.0
125,8/27/2019,115XX S AVENUE H ,5.21,5.77,7.62,7.24,7.66,9.98,20.1,18.0,16.7,16.7,17.5,,,,,,,,,
126,6/9/2021,115XX S ELIZABETH ST,13.0,20.0,18.0,16.0,17.0,18.0,18.0,17.0,16.0,16.0,,25-20-328-101-0000,72.0,72310.0,,60643-5115,14000.0,-87.652729015341,41.6837452734812,47039.0
127,8/30/2019,115XX S EWING AVE,3.6,3.73,4.56,5.06,6.64,7.98,12.5,13.0,13.6,14.4,4.03,26-20-106-067-0000,70.0,70241.0,,60617-7472,14000.0,-87.5356048920423,41.6847120552839,44738.0
128,10/15/2021,115XX S JUSTINE ST,8.62,11.8,12.4,13.5,12.9,14.1,16.6,17.4,16.8,16.4,13.2,25-20-300-031-0000,72.0,72310.0,,60643-5003,14000.0,-87.6607190646458,41.684155209246,47039.0
129,9/29/2021,115XX S MAY ST,9.2,5.5,4.9,8.0,18.0,20.0,15.0,15.0,14.0,11.0,3.9,25-20-401-017-0000,72.0,72310.0,,60643-5130,14000.0,-87.6502800259167,41.6839626681115,47039.0
